nm,K2D3.pred,mdeg,name,CDsmooth,Ell,dE,dE2
190,2.5983,16.70167,SOMT-Buffer_4C,16.6498135566,9899.4682334271,3001.66,3
190.9,2.6602,16.82841,SOMT-Buffer_4C,16.645122,9896.6787778584,3000.81,3
191.9,2.6907,15.35548,SOMT-Buffer_4C,15.4055565882,9159.6712206667,2777.34,2.78
192.9,2.6133,14.23889,SOMT-Buffer_4C,14.3027589774,8503.9816011091,2578.53,2.58
193.9,2.4863,13.0594,SOMT-Buffer_4C,13.4875424977,8019.2788976148,2431.56,2.43
194.9,2.3175,12.0563,SOMT-Buffer_4C,12.0907343077,7188.7796095255,2179.74,2.18
195.8,2.139,10.01751,SOMT-Buffer_4C,9.8654804253,5865.7119340329,1778.57,1.78
196.8,1.9984,7.57625,SOMT-Buffer_4C,7.5229709231,4472.9276649857,1356.25,1.36
197.8,1.9523,3.83214,SOMT-Buffer_4C,3.8859029231,2310.4386373157,700.56,0.7
198.8,1.8125,0.83554,SOMT-Buffer_4C,0.8489421538,504.7549544905,153.05,0.15
199.8,1.3481,-2.12837,SOMT-Buffer_4C,-2.1832702172,-1298.1054764777,-393.6,-0.39
200.8,0.6235,-5.16697,SOMT-Buffer_4C,-5.0974335928,-3030.777597125,-918.97,-0.92
201.7,-0.1124,-7.47688,SOMT-Buffer_4C,-7.474790552,-4444.281094802,-1347.57,-1.35
202.7,-0.7395,-9.1208,SOMT-Buffer_4C,-9.0764743348,-5396.5931236433,-1636.32,-1.64
203.7,-1.2457,-10.78211,SOMT-Buffer_4C,-10.7089993213,-6367.2423857803,-1930.64,-1.93
204.7,-1.6514,-11.97002,SOMT-Buffer_4C,-11.899317448,-7074.9690184466,-2145.23,-2.15
205.7,-1.9663,-12.86576,SOMT-Buffer_4C,-12.8695602081,-7651.845591298,-2320.15,-2.32
206.7,-2.1975,-13.49955,SOMT-Buffer_4C,-13.5115804344,-8033.5711171325,-2435.89,-2.44
207.6,-2.3483,-13.49721,SOMT-Buffer_4C,-13.5437033846,-8052.6704376293,-2441.68,-2.44
208.6,-2.4388,-13.67419,SOMT-Buffer_4C,-13.720194362,-8157.6065570687,-2473.5,-2.47
209.6,-2.479,-13.58726,SOMT-Buffer_4C,-13.5711195385,-8068.9712414287,-2446.63,-2.45
210.6,-2.4985,-12.77281,SOMT-Buffer_4C,-12.8200232941,-7622.3924622808,-2311.22,-2.31
211.6,-2.5101,-12.33951,SOMT-Buffer_4C,-12.3582355113,-7347.8276167985,-2227.96,-2.23
212.5,-2.5255,-12.13124,SOMT-Buffer_4C,-12.1637598552,-7232.1983592527,-2192.9,-2.19
213.5,-2.5431,-12.48182,SOMT-Buffer_4C,-12.466809095,-7412.3821380416,-2247.54,-2.25
214.5,-2.5602,-12.31052,SOMT-Buffer_4C,-12.2986786425,-7312.4169301533,-2217.23,-2.22
215.5,-2.5651,-11.79771,SOMT-Buffer_4C,-11.7869033032,-7008.1310174312,-2124.96,-2.12
216.5,-2.5618,-11.73533,SOMT-Buffer_4C,-11.6873163891,-6948.9196942216,-2107.01,-2.11
217.5,-2.5412,-11.74892,SOMT-Buffer_4C,-11.7652914027,-6995.2812445934,-2121.07,-2.12
218.4,-2.5081,-11.46463,SOMT-Buffer_4C,-11.4670087059,-6817.9315060006,-2067.29,-2.07
219.4,-2.4584,-11.12842,SOMT-Buffer_4C,-11.1508464434,-6629.9511263384,-2010.29,-2.01
220.4,-2.3981,-10.93672,SOMT-Buffer_4C,-10.980527448,-6528.6846779468,-1979.59,-1.98
221.4,-2.3207,-10.63129,SOMT-Buffer_4C,-10.6190264706,-6313.7472896256,-1914.42,-1.91
222.4,-2.2287,-10.28082,SOMT-Buffer_4C,-10.2944248416,-6120.749121599,-1855.9,-1.86
223.4,-2.1179,-9.72237,SOMT-Buffer_4C,-9.7579711584,-5801.7902228656,-1759.18,-1.76
224.3,-1.9957,-9.33658,SOMT-Buffer_4C,-9.3304859548,-5547.6206383763,-1682.12,-1.68
225.3,-1.8625,-8.62351,SOMT-Buffer_4C,-8.6564787149,-5146.8766158069,-1560.61,-1.56
226.3,-1.7184,-8.26177,SOMT-Buffer_4C,-8.2315644977,-4894.2356609541,-1484,-1.48
227.3,-1.5677,-7.73343,SOMT-Buffer_4C,-7.80374781,-4639.8689861533,-1406.87,-1.41
228.3,-1.4166,-7.13318,SOMT-Buffer_4C,-7.1181497828,-4232.233437106,-1283.27,-1.28
229.2,-1.2571,-6.41981,SOMT-Buffer_4C,-6.4035949593,-3807.3810654838,-1154.45,-1.15
230.2,-1.107,-5.5661,SOMT-Buffer_4C,-5.5780293303,-3316.5250753715,-1005.62,-1.01
231.2,-0.9648,-5.24408,SOMT-Buffer_4C,-5.2209483348,-3104.2156726591,-941.24,-0.94
232.2,-0.8353,-4.52621,SOMT-Buffer_4C,-4.5501688688,-2705.390785319,-820.31,-0.82
233.2,-0.7201,-3.67192,SOMT-Buffer_4C,-3.6429297195,-2165.9742261895,-656.75,-0.66
234.2,-0.6194,-3.23342,SOMT-Buffer_4C,-3.2055584072,-1905.9266648881,-577.9,-0.58
235.1,-0.523,-2.96805,SOMT-Buffer_4C,-2.9515051403,-1754.8743880919,-532.1,-0.53
236.1,-0.4402,-2.59756,SOMT-Buffer_4C,-2.5559591584,-1519.6948847671,-460.79,-0.46
237.1,-0.3672,-1.95954,SOMT-Buffer_4C,-1.9390103801,-1152.8760725628,-349.57,-0.35
238.1,-0.3045,-1.53002,SOMT-Buffer_4C,-1.4898461448,-885.8168010712,-268.59,-0.27
239.1,-0.2513,-1.30058,SOMT-Buffer_4C,-1.2672885611,-753.4908910804,-228.47,-0.23
