no,time,compound,substrate.id,t.r,area,name,substrate.name
1,4,substrate,1,19.3,1666206,alizarin,alizarin
2,10,substrate,1,19.3,1464746,alizarin,alizarin
3,20,substrate,1,19.3,1732002,alizarin,alizarin
4,30,substrate,1,19.3,1743860,alizarin,alizarin
5,4,product,1,,,,alizarin
6,10,product,1,,,,alizarin
7,20,product,1,,,,alizarin
8,30,product,1,,,,alizarin
9,4,substrate,2,20.49,1245983,purpurin,purpurin
10,10,substrate,2,20.49,986039,purpurin,purpurin
11,20,substrate,2,20.49,1060593,purpurin,purpurin
12,30,substrate,2,20.49,1125827,purpurin,purpurin
13,4,product,2,,,,purpurin
14,10,product,2,,,,purpurin
15,20,product,2,,,,purpurin
16,30,product,2,,,,purpurin
17,4,substrate,3,17.65,6684463,apigenin,apigenin
18,10,substrate,3,17.65,2909902,apigenin,apigenin
19,20,substrate,3,17.65,1918050,apigenin,apigenin
20,30,substrate,3,17.65,1415943,apigenin,apigenin
21,4,product,3,20.05,143312,unknown,apigenin
22,10,product,3,20.05,887374,unknown,apigenin
23,20,product,3,20.05,2973202,unknown,apigenin
24,30,product,3,20.05,3601149,unknown,apigenin
25,4,substrate,4,19.93,6805319,chrysin,chrysin
26,10,substrate,4,19.93,4214491,chrysin,chrysin
27,20,substrate,4,19.93,5812595,chrysin,chrysin
28,30,substrate,4,19.93,5057961,chrysin,chrysin
29,4,product,4,,,,chrysin
30,10,product,4,,,,chrysin
31,20,product,4,,,,chrysin
32,30,product,4,,,,chrysin
33,4,substrate,5,17.68,2615656,genistein,genistein
34,10,substrate,5,17.68,2806723,genistein,genistein
35,20,substrate,5,17.68,2939699,genistein,genistein
36,30,substrate,5,17.68,2952681,genistein,genistein
37,4,product,5,,,,genistein
38,10,product,5,,,,genistein
39,20,product,5,,,,genistein
40,30,product,5,,,,genistein
41,4,substrate,6,20.15,5481128,galangin,galangin
42,10,substrate,6,20.15,4246191,galangin,galangin
43,20,substrate,6,20.15,3898243,galangin,galangin
