file;rt;product;height;method;precursor;enzyme;Mg;pH;substrate
WEB346_E_5_pMS2,HCD_285,271.mzXML;12.59;unknown;1676401.1;HCD.100;285;wt;T;8.6;apigenin
WEB346_E_5_pMS2,HCD_285,271.mzXML;15.05;3'-O-methylated;410869.4;HCD.100;285;wt;T;8.6;apigenin
WEB346_E_5_pMS2,HCD_285,271.mzXML;12.59;unknown;903073.62;CID.45;285;wt;T;8.6;apigenin
WEB346_E_5_pMS2,HCD_285,271.mzXML;15.05;3'-O-methylated;57149.75;CID.45;285;wt;T;8.6;apigenin
WEB346_E_5_pMS2,HCD_285,271.mzXML;12.59;unknown;322641.84;CID.45;271;wt;T;8.6;apigenin
WEB346_E_5_pMS2,HCD_285,271.mzXML;15.05;3'-O-methylated;72781.47;CID.45;271;wt;T;8.6;apigenin
WEB346_A_7_pMS2,HCD_315,301.mzXML;12.78;unknown;34029.39;CID.45;301;wt;T;7.5;diosmetin
WEB346_A_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;1644578.75;CID.45;301;wt;T;7.5;diosmetin
WEB346_A_7_pMS2,HCD_315,301.mzXML;12.78;unknown;46907.38;CID.45;315;wt;T;7.5;diosmetin
WEB346_A_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;338208.19;CID.45;315;wt;T;7.5;diosmetin
WEB346_A_7_pMS2,HCD_315,301.mzXML;12.78;unknown;79966.27;HCD.100;315;wt;T;7.5;diosmetin
WEB346_A_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;420849.91;HCD.100;315;wt;T;7.5;diosmetin
WEB346_D_7_pMS2,HCD_315,301.mzXML;NA;;NA;NA;NA;var;F;7.5;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;12.78;unknown;433957.3;HCD.100;315;wt;T;8.6;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;1642839;HCD.100;315;wt;T;8.6;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;12.78;unknown;354479.3;CID.45;315;wt;T;8.6;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;1359213.4;CID.45;315;wt;T;8.6;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;12.78;unknown;177001.9;CID.45;301;wt;T;8.6;diosmetin
WEB346_E_7_pMS2,HCD_315,301.mzXML;14.55;3'-O-methylated;1595831.9;CID.45;301;wt;T;8.6;diosmetin
WEB346_E_8_pMS2,HCD_315,301.mzXML;12.69;unknown;355894;CID.45;301;wt;T;8.6;chrysoeriol
WEB346_E_8_pMS2,HCD_315,301.mzXML;14.54;3'-O-methylated;50936.31;CID.45;301;wt;T;8.6;chrysoeriol
WEB346_E_8_pMS2,HCD_315,301.mzXML;12.69;unknown;817581.2;CID.45;315;wt;T;8.6;chrysoeriol
WEB346_E_8_pMS2,HCD_315,301.mzXML;14.54;3'-O-methylated;531694.9;CID.45;315;wt;T;8.6;chrysoeriol
WEB346_E_8_pMS2,HCD_315,301.mzXML;12.69;unknown;912297.2;HCD.100;315;wt;T;8.6;chrysoeriol
WEB346_E_8_pMS2,HCD_315,301.mzXML;14.54;3'-O-methylated;634380.8;HCD.100;315;wt;T;8.6;chrysoeriol
WEB346_A_6_pMS2,HCD_301,287.mzXML;NA;;NA;NA;NA;wt;T;7.5;luteolin
WEB346_D_6_pMS2,HCD_301,287.mzXML;NA;;NA;NA;NA;var;F;7.5;luteolin
WEB346_H_6_pMS2,HCD_301,287.mzXML;NA;;NA;NA;NA;var;F;8.6;luteolin
