substrate,file,method,eV,precursor,name,type,MW,scan
1,"WEB350_1_pMS2,HCD_273.mzXML",CID,45,273,naringenin,flavanon,272.0685,3454
1,"WEB350_1_pMS2,HCD_273.mzXML",HCD,75,273,naringenin,flavanon,272.0685,3459
1,"WEB350_1_pMS2,HCD_273.mzXML",HCD,100,273,naringenin,flavanon,272.0685,3456
2,"WEB350_2_pMS2,HCD_289.mzXML",CID,45,289,eriodictyol,flavanon,288.063,3302
2,"WEB350_2_pMS2,HCD_289.mzXML",HCD,75,289,eriodictyol,flavanon,288.063,3303
2,"WEB350_2_pMS2,HCD_289.mzXML",HCD,100,289,eriodictyol,flavanon,288.063,3304
3,"WEB350_3_pMS2,HCD_303.mzXML",CID,45,303,hesperetin,flavanon,302.079,3506
3,"WEB350_3_pMS2,HCD_303.mzXML",HCD,75,303,hesperetin,flavanon,302.079,3511
3,"WEB350_3_pMS2,HCD_303.mzXML",HCD,100,303,hesperetin,flavanon,302.079,3508
4,"WEB350_4_pMS2,HCD_303.mzXML",CID,45,303,homoeriodictyol,flavanon,302.079,3486
4,"WEB350_4_pMS2,HCD_303.mzXML",HCD,75,303,homoeriodictyol,flavanon,302.079,3487
4,"WEB350_4_pMS2,HCD_303.mzXML",HCD,100,303,homoeriodictyol,flavanon,302.079,3488
5,"WEB350_5_pMS2,HCD_271.mzXML",CID,45,271,apigenin,flavone,270.053,3450
5,"WEB350_5_pMS2,HCD_271.mzXML",HCD,75,271,apigenin,flavone,270.053,3447
5,"WEB350_5_pMS2,HCD_271.mzXML",HCD,100,271,apigenin,flavone,270.053,3448
6,"WEB350_6_pMS2,HCD_287.mzXML",CID,45,287,luteolin,flavone,286.048,3306
6,"WEB350_6_pMS2,HCD_287.mzXML",HCD,75,287,luteolin,flavone,286.048,3307
6,"WEB350_6_pMS2,HCD_287.mzXML",HCD,100,287,luteolin,flavone,286.048,3308
7,"WEB350_7_pMS2,HCD_301.mzXML",CID,45,301,diosmetin,flavone,300.063,3482
7,"WEB350_7_pMS2,HCD_301.mzXML",HCD,75,301,diosmetin,flavone,300.063,3483
7,"WEB350_7_pMS2,HCD_301.mzXML",HCD,100,301,diosmetin,flavone,300.063,3484
8,"WEB350_8_pMS2,HCD_301.mzXML",CID,45,301,chrysoeriol,flavone,300.063,3478
8,"WEB350_8_pMS2,HCD_301.mzXML",HCD,75,301,chrysoeriol,flavone,300.063,3479
8,"WEB350_8_pMS2,HCD_301.mzXML",HCD,100,301,chrysoeriol,flavone,300.063,3484
15,"WEB350_15_pMS2,HCD_287.mzXML",CID,45,287,kaempferol,flavonole,286.048,3478
15,"WEB350_15_pMS2,HCD_287.mzXML",HCD,75,287,kaempferol,flavonole,286.048,3475
15,"WEB350_15_pMS2,HCD_287.mzXML",HCD,100,287,kaempferol,flavonole,286.048,3472
16,"WEB350_16_pMS2,HCD_303.mzXML",CID,45,303,quercetin,flavonole,302.043,3318
16,"WEB350_16_pMS2,HCD_303.mzXML",HCD,75,303,quercetin,flavonole,302.043,3319
16,"WEB350_16_pMS2,HCD_303.mzXML",HCD,100,303,quercetin,flavonole,302.043,3320
17,"WEB350_17_pMS2,HCD_319.mzXML",CID,45,319,myricetin,flavonole,318.038,3134
17,"WEB350_17_pMS2,HCD_319.mzXML",HCD,75,319,myricetin,flavonole,318.038,3135
17,"WEB350_17_pMS2,HCD_319.mzXML",HCD,100,319,myricetin,flavonole,318.038,3136
18,"WEB350_18_pMS2,HCD_287.mzXML",CID,45,287,ponciretin,flavanon,286.084,3786
18,"WEB350_18_pMS2,HCD_287.mzXML",HCD,75,287,ponciretin,flavanon,286.084,3783
18,"WEB350_18_pMS2,HCD_287.mzXML",HCD,100,287,ponciretin,flavanon,286.084,3784
19,"WEB350_19_pMS2,HCD_285.mzXML",CID,45,285,acacetin,flavone,284.068,3770
19,"WEB350_19_pMS2,HCD_285.mzXML",HCD,75,285,acacetin,flavone,284.068,3767
19,"WEB350_19_pMS2,HCD_285.mzXML",HCD,100,285,acacetin,flavone,284.068,3764
20,"WEB350_20_pMS2,HCD_317.mzXML",CID,45,317,isorhamnetin,flavonole,316.058,3498
20,"WEB350_20_pMS2,HCD_317.mzXML",HCD,75,317,isorhamnetin,flavonole,316.058,3503
20,"WEB350_20_pMS2,HCD_317.mzXML",HCD,100,317,isorhamnetin,flavonole,316.058,3500
21,"WEB350_21_pMS2,HCD_301.mzXML",CID,45,301,kaempferide,flavonole,300.063,3802
21,"WEB350_21_pMS2,HCD_301.mzXML",HCD,75,301,kaempferide,flavonole,300.063,3803
21,"WEB350_21_pMS2,HCD_301.mzXML",HCD,100,301,kaempferide,flavonole,300.063,3804
